feature,score
total_sales,8844
merchant_coupon_transfer_rate,7146
total_coupon,7137
days_distance,6811
discount_rate,6154
day_of_month,6045
coupon_rate,6018
merchant_mean_distance,5591
discount_man,5217
distance,4828
this_month_user_receive_all_coupon_count,4816
sales_use_coupon,4169
discount_jian,3423
buy_total,3124
this_month_user_receive_same_coupon_count,2880
coupon_received,2737
user_merchant_rate,2516
user_merchant_buy_common,2200
count_merchant,1990
user_merchant_buy_total,1844
user_coupon_transfer_rate,1824
avg_user_date_datereceived_gap,1782
merchant_max_distance,1617
buy_use_coupon_rate,1609
this_day_user_receive_all_coupon_count,1598
user_merchant_coupon_transfer_rate,1411
user_merchant_any,1386
max_user_date_datereceived_gap,1353
merchant_median_distance,1258
min_user_date_datereceived_gap,1213
user_merchant_coupon_buy_rate,1092
user_merchant_received,858
buy_use_coupon,662
weekday4,650
user_merchant_buy_use_coupon,606
weekday2,588
is_weekend,569
weekday3,562
merchant_min_distance,528
weekday1,519
weekday7,501
user_merchant_common_buy_rate,495
weekday5,477
this_day_user_receive_same_coupon_count,466
weekday6,447
user_min_distance,408
user_max_distance,332
user_mean_distance,325
user_median_distance,210
is_man_jian,151
